trip_id,start_time,end_time,headway_secs
r10178669_Mo-Su,05:00:00,22:00:00,3600
r10178996_Mo-Su,05:00:00,22:00:00,3600
r10179434_Mo-Su,05:00:00,22:00:00,600
r10179433_Mo-Su,05:00:00,22:00:00,600
r10183939_Mo-Su,05:00:00,07:00:00,900
r10183939_Mo-Su,07:00:00,09:00:00,180
r10183939_Mo-Su,09:00:00,17:00:00,300
r10184124_Mo-Su,05:00:00,07:00:00,900
r10184124_Mo-Su,07:00:00,09:00:00,180
r10184124_Mo-Su,09:00:00,17:00:00,300
r10184409_Mo-Su,05:00:00,22:00:00,300
r10184729_Mo-Su,05:00:00,22:00:00,300
r10184963_Mo-Su,05:00:00,22:00:00,600
r10184962_Mo-Su,05:00:00,22:00:00,600
r10185123_Mo-Su,05:00:00,22:00:00,600
r10185122_Mo-Su,05:00:00,22:00:00,600
r10184954_Mo-Su,05:00:00,07:00:00,3600
r10184954_Mo-Su,07:00:00,09:00:00,600
r10184954_Mo-Su,09:00:00,17:00:00,600
r10184954_Mo-Su,17:00:00,20:00:00,600
r10185168_Mo-Su,05:00:00,07:00:00,3600
r10185168_Mo-Su,07:00:00,09:00:00,600
r10185168_Mo-Su,09:00:00,17:00:00,600
r10185168_Mo-Su,17:00:00,20:00:00,600
r10186002_Mo-Su,05:00:00,22:00:00,1800
r10185402_Mo-Su,05:00:00,22:00:00,1800
r10185404_Mo-Su,05:00:00,22:00:00,300
r10185405_Mo-Su,05:00:00,22:00:00,300
r10402403_Mo-Su,09:00:00,17:00:00,720
r10402403_Mo-Su,17:00:00,20:00:00,300
r10402403_Mo-Su,20:00:00,22:00:00,1200
r10402402_Mo-Su,09:00:00,17:00:00,720
r10402402_Mo-Su,17:00:00,20:00:00,300
r10402402_Mo-Su,20:00:00,22:00:00,1200
r10402517_Mo-Su,05:00:00,22:00:00,3600
r10402516_Mo-Su,05:00:00,22:00:00,3600
r10402748_Mo-Su,05:00:00,07:00:00,1800
r10402748_Mo-Su,07:00:00,09:00:00,420
r10402748_Mo-Su,09:00:00,17:00:00,420
