line_id,route_id
r10179006,r10178669
r10179006,r10178996
r10179435,r10179434
r10179435,r10179433
r10184139,r10183939
r10184139,r10184124
r10184730,r10184409
r10184730,r10184729
r10184964,r10184963
r10184964,r10184962
r10185142,r10185123
r10185142,r10185122
r10185169,r10184954
r10185169,r10185168
r10185403,r10186002
r10185403,r10185402
r10185406,r10185404
r10185406,r10185405
r10402404,r10402403
r10402404,r10402402
r10402518,r10402517
r10402518,r10402516
r10402749,r10402748
r10402749,r10402747
r10403055,r10403054
r10403055,r10403053
r10403061,r10403060
r10403061,r10403059
r10404238,r10404237
r10404238,r10404236
r10406129,r10406127
r10406129,r10406128
r10406387,r10406386
r10406387,r10406385
r10406547,r10406545
r10406547,r10406546
r10406621,r10406619
r10406621,r10406620
r10406865,r10406864
r10406865,r10406863
r10407729,r10407727
r10407729,r10407728
r10407850,r10407849
r10407850,r10407848
r10408669,r10408667
r10408669,r10408668
r10408694,r10408692
r10408694,r10408693
r10408727,r10408726
r10408727,r10408725
r10408771,r10408769
r10408771,r10408770
r10408836,r10408835
r10408836,r10408834
r10409494,r10409493
r10409494,r10409492
r10409714,r10409712
r10409714,r10409713
r10410754,r10410753
r10410754,r10410752
r10411047,r10411046
r10411047,r10412113
r10412424,r10412423
r10412424,r10412422
r10412781,r10412780
r10412781,r10412779
r10413050,r10413049
r10413050,r10413048
r10413162,r10413161
r10413162,r10413160
r10413253,r10413252
r10413253,r10413251
r10413686,r10413685
r10413686,r10413684
r10416510,r10416508
r10416510,r10416509
r10416736,r10416735
r10416736,r10416734
r10430127,r10430126
r10430127,r10430125
r10430197,r10430196
r10430197,r10430195
r10430593,r10430591
r10430593,r10430592
r10430627,r10430626
r10430627,r10430625
r10431102,r10431100
r10431102,r10431101
r10442364,r10442362
r10442364,r10442363
r10459360,r10459359
r10459360,r10459358
r10459458,r10459457
r10459458,r10459456
r10460517,r10460516
r10460517,r10460515
r10460657,r10460656
r10460657,r10460655
r10460968,r10460967
r10460968,r10460966
r10461146,r10474251
r10461146,r10474250
r10461307,r10461306
r10461307,r10461305
r10461959,r10461958
r10461959,r10461957
r10464893,r10416468
r10464893,r10416469
r10465035,r10465033
r10465035,r10465034
r10474495,r10474494
r10474495,r10474493
r10474747,r10474746
r10474747,r10474745
r10476005,r10476004
r10476005,r10476003
r10476178,r10476177
r10476178,r10476176
r10476298,r10476297
r10476298,r10476296
r10480217,r10480216
r10480217,r10480215
r10480360,r10480358
r10480360,r10480359
r10480446,r10480445
r10480446,r10480444
r10480461,r10480459
r10480461,r10480460
r10480573,r10480572
r10480573,r10480571
r10521453,r10521452
r10521453,r10521451
r10628612,r10628610
r10628612,r10628611
r10628718,r10628717
r10628718,r10628716
r10628857,r10628855
r10628857,r10628856
r10647547,r10647546
r10647547,r10647545
r10647596,r10647595
r10647596,r10647594
r10647737,r10647736
r10647737,r10647735
r10651885,r10651884
r10651885,r10651883
r10651976,r10651975
r10651976,r10651974
r10653426,r10653425
r10653426,r10653424
r10653562,r10653561
