route_id,stop_point_id,stop_point_index
r10178669,n9271804742,1
r10178669,n6899034709,2
r10178669,n6899034708,3
r10178669,n6899034707,4
r10178669,n9271804739,5
r10178669,n6899034705,6
r10178996,n6899053349,1
r10178996,n6899053348,2
r10178996,n6899053347,3
r10178996,n6899053345,4
r10179433,n6899264973,1
r10179433,n6899264972,2
r10179433,n6899264971,3
r10179433,n6899264970,4
r10179434,n6899241577,1
r10179434,n6899241573,2
r10183939,n6902639012,1
r10183939,n6902639011,2
r10183939,n6902639010,3
r10183939,n6902638994,4
r10183939,n6902639009,5
r10183939,n6902639008,6
r10183939,n6902639007,7
r10183939,n6902639006,8
r10183939,n6902639005,9
r10183939,n6902638993,10
r10183939,n6902639004,11
r10183939,n6902639003,12
r10183939,n6902639002,13
r10183939,n6902639001,14
r10183939,n6902639000,15
r10183939,n6902638999,16
r10183939,n6902638998,17
r10183939,n6902638997,18
r10183939,n6902638992,19
r10183939,n6902638991,20
r10183939,n6902638990,21
r10183939,n6902638996,22
r10183939,n6902638989,23
r10183939,n6902638988,24
r10183939,n6902638995,25
r10184124,n6902868245,1
r10184124,n6902868224,2
r10184124,n6902868225,3
r10184124,n6902868226,4
r10184124,n6902868244,5
r10184124,n6902868227,6
r10184124,n6902868228,7
r10184124,n6902868229,8
r10184124,n6902868230,9
r10184124,n6902868231,10
r10184124,n6902868232,11
r10184124,n6902868233,12
r10184124,n6902868243,13
r10184124,n6902868234,14
r10184124,n6902868235,15
r10184124,n6902868236,16
r10184124,n6902868242,17
r10184124,n6902868241,18
r10184124,n6902868237,19
r10184124,n6902868240,20
r10184124,n6902868238,21
r10184124,n6902868239,22
r10184124,n6899264972,23
r10184124,n6899264971,24
r10184409,n6902975757,1
r10184409,n6902975756,2
r10184409,n6902975755,3
r10184409,n6902975754,4
r10184409,n6902975747,5
r10184409,n6902975753,6
r10184409,n6902975752,7
r10184409,n6902975751,8
r10184409,n6902975750,9
r10184409,n6902975749,10
r10184409,n6902975748,11
r10184729,n6903097505,1
r10184729,n6903097504,2
r10184729,n6903097503,3
r10184729,n6903084143,4
r10184729,n6903084142,5
r10184729,n6903084141,6
r10184729,n6903097502,7
r10184729,n6903097501,8
r10184729,n6903193217,9
r10184729,n6903193216,10
r10184729,n6903097494,11
r10184729,n6903097500,12
r10184729,n6903097499,13
r10184729,n6903097498,14
r10184729,n6903097497,15
r10184729,n6903097496,16
r10184729,n6903097495,17
r10184954,n6903370485,1
r10184954,n6903347584,2
r10184954,n6903347583,3
r10184954,n6903347582,4
r10184954,n6903347581,5
r10184954,n6903347580,6
r10184954,n6903347579,7
r10184954,n6903347578,8
r10184954,n6903347577,9
r10184954,n6903347576,10
r10184954,n6903347575,11
r10184954,n6903347574,12
r10184962,n6903268822,1
r10184962,n6903296479,2
r10184962,n6903296477,3
r10184962,n6903374201,4
r10184962,n6903268821,5
r10184962,n6903296476,6
r10184962,n6903097496,7
r10184962,n6903268819,8
r10184963,n6903268820,1
r10184963,n6903374200,2
r10184963,n6903374202,3
r10184963,n6903296478,4
r10184963,n6903296482,5
r10184963,n6903296481,6
r10184963,n6903296480,7
r10185122,n6903397403,1
r10185122,n6903504062,2
r10185122,n6903504061,3
r10185122,n6903504059,4
r10185122,n6903406998,5
r10185122,n6903406997,6
r10185122,n6902638988,7
r10185122,n6903268819,8
r10185123,n6903268820,1
r10185123,n6903504058,2
r10185123,n6903504060,3
r10185123,n6903397407,4
r10185123,n6903397406,5
r10185123,n6903397405,6
r10185123,n6903397404,7
r10185123,n9340348210,8
r10185168,n6903347574,1
r10185168,n6903544090,2
r10185168,n6903544089,3
r10185168,n6903544088,4
r10185168,n6903544087,5
r10185168,n6903535584,6
r10185168,n6899264970,7
r10185168,n6903544086,8
r10185402,n6903639376,1
r10185402,n6903639375,2
r10185402,n6903639374,3
r10185402,n6903639373,4
r10185402,n6903639372,5
r10185402,n6903639371,6
r10185402,n6903639370,7
r10185402,n6903639369,8
r10185402,n6903639368,9
r10185402,n6903639367,10
r10185402,n6903639366,11
r10185404,n6903525066,1
r10185404,n6903602207,2
r10185404,n6903602208,3
r10185404,n6903602209,4
r10185404,n6903525065,5
r10185404,n6903602210,6
r10185404,n6903525064,7
r10185404,n6903525063,8
r10185404,n6903525062,9
r10185404,n6903602211,10
r10185404,n6903525055,11
r10185404,n6903525061,12
r10185404,n6903525060,13
r10185404,n6903525059,14
r10185404,n6903602212,15
r10185405,n6903602224,1
r10185405,n6903602223,2
r10185405,n6903525058,3
r10185405,n6903602222,4
r10185405,n6903525057,5
r10185405,n6903525056,6
r10185405,n6903525054,7
r10185405,n6903602221,8
r10185405,n8866958390,9
r10185405,n6903525053,10
r10185405,n6903525052,11
r10185405,n6903602219,12
r10185405,n6903602218,13
r10185405,n6903525051,14
r10185405,n6903602217,15
r10185405,n6903602216,16
r10185405,n6903602215,17
r10185405,n6903602214,18
r10185405,n6903602213,19
r10186002,n7056198868,1
r10186002,n6903968407,2
r10186002,n6903968408,3
r10186002,n6903544089,4
r10186002,n6903544088,5
r10186002,n6903544087,6
r10186002,n6903535584,7
r10186002,n6899264970,8
r10186002,n6903544086,9
r10402402,n7051810984,1
r10402402,n7051810982,2
r10402402,n7051810979,3
r10402402,n7051810981,4
r10402403,n7051811090,1
r10402403,n7051811088,2
r10402403,n7051811087,3
r10402403,n7051811086,4
r10402516,n7051905154,1
r10402516,n7051905153,2
r10402516,n7051905152,3
r10402516,n7051905151,4
r10402516,n7051810979,5
r10402516,n7051905150,6
r10402516,n7051905149,7
r10402516,n7051905148,8
r10402516,n7051905147,9
r10402516,n7051905145,10
r10402517,n7051905163,1
r10402517,n7051905162,2
r10402517,n7051905161,3
r10402517,n7051905160,4
r10402517,n7051905155,5
r10402517,n7051905157,6
r10402747,n7052162369,1
r10402747,n7052162367,2
r10402747,n7052162366,3
r10402747,n7052162364,4
r10402747,n7052162363,5
r10402747,n7052162362,6
r10402747,n7052162361,7
r10402747,n7052162358,8
r10402747,n7051810979,9
r10402747,n7052162360,10
r10402747,n7052162359,11
r10402747,n7051905148,12
r10402748,n7052162375,1
r10402748,n7052162373,2
r10402748,n7052162372,3
r10402748,n7052162371,4
r10402748,n7052162370,5
r10403053,n7052340405,1
r10403053,n7052340403,2
r10403053,n6903544089,3
r10403053,n7052340402,4
r10403053,n6903544088,5
r10403053,n6903535584,6
r10403053,n7052340401,7
r10403053,n7051905146,8
r10403053,n7052340404,9
r10403054,n7052340415,1
r10403054,n7052340412,2
r10403054,n7052340411,3
r10403054,n7052340410,4
r10403054,n7052340409,5
r10403054,n7052340408,6
r10403054,n7052340407,7
r10403054,n7052340406,8
r10403059,n7052366509,1
r10403059,n7052366507,2
r10403059,n7052366506,3
r10403059,n7052366505,4
r10403059,n7052366504,5
r10403059,n7052366503,6
r10403059,n7052366502,7
r10403059,n7052366501,8
r10403059,n7052366500,9
r10403060,n7052366525,1
r10403060,n7052366523,2
r10403060,n7052366522,3
r10403060,n7052366521,4
r10403060,n7052366520,5
r10403060,n7052366519,6
r10403060,n7052366518,7
r10403060,n7052366517,8
r10403060,n7052366516,9
r10403060,n7052366515,10
r10403060,n7052366514,11
r10403060,n7052366513,12
r10403060,n7052366512,13
r10403060,n7052366511,14
r10403060,n7052366510,15
r10404236,n7052994964,1
r10404236,n7052994962,2
r10404236,n7052994961,3
r10404236,n7052340403,4
r10404236,n7052340402,5
r10404236,n6903544088,6
r10404236,n7051905146,7
r10404236,n7052994963,8
r10404237,n7052994973,1
r10404237,n7051811087,2
r10404237,n7052994971,3
r10404237,n7052994970,4
r10404237,n7052994969,5
r10404237,n7052994968,6
r10404237,n7052994967,7
r10404237,n7052994966,8
r10404237,n7052994965,9
r10404237,n7052994964,10
r10406127,n7054593066,1
r10406127,n7054593065,2
r10406127,n7054593063,3
r10406127,n7054593064,4
r10406127,n7054593062,5
r10406127,n7054593061,6
r10406127,n7054593060,7
r10406127,n7054593059,8
r10406127,n7054593058,9
r10406127,n7054593057,10
r10406127,n7054593056,11
r10406127,n7054593055,12
r10406127,n7054593054,13
r10406127,n7054593053,14
r10406127,n7054593052,15
r10406127,n7054593051,16
r10406127,n7054593050,17
r10406127,n7054593049,18
r10406128,n7054593081,1
r10406128,n7054593077,2
r10406128,n7054593076,3
r10406128,n7054593075,4
r10406128,n7054593074,5
r10406128,n7054593073,6
r10406128,n7054593072,7
r10406128,n7054593071,8
r10406128,n7054593070,9
r10406128,n7054593068,10
r10406385,n7054787080,1
r10406385,n7055147056,2
r10406385,n7054787079,3
r10406385,n7054787078,4
r10406385,n7055147055,5
r10406385,n7054787077,6
r10406385,n7054787076,7
r10406385,n7054787075,8
r10406385,n7054787074,9
r10406385,n7054787073,10
r10406385,n7055147054,11
r10406385,n7054787072,12
r10406385,n7054787071,13
r10406385,n7054787070,14
r10406385,n7054787069,15
r10406386,n7054787067,1
r10406386,n7054787065,2
r10406386,n7054787064,3
r10406386,n7054787063,4
r10406386,n7054787062,5
r10406386,n7054787061,6
r10406386,n7054787049,7
r10406386,n7054787060,8
r10406386,n7054787059,9
r10406386,n7054787058,10
r10406386,n7054787057,11
r10406386,n7054787056,12
r10406386,n7054787055,13
r10406386,n7054787054,14
r10406386,n7054787053,15
r10406386,n7054787052,16
r10406386,n7054787051,17
r10406386,n7054787050,18
r10406545,n7052366501,1
r10406545,n7054917919,2
r10406545,n7054787065,3
r10406545,n7054917918,4
r10406545,n7054917917,5
r10406545,n7054917916,6
r10406545,n7054917915,7
