route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
r10179006,Gbaka d'Adjamé,,gbaka : Adjamé Liberté ↔ Treichville Gare de Bassam,,3,https://jungle-bus.github.io/unroll/route.html?line=10179006,,
r10179435,Gbaka d'Abobo,,gbaka : Adjamé ↔ Abobo Gare Mairie,,3,https://jungle-bus.github.io/unroll/route.html?line=10179435,,
r10184139,Gbaka d'Abobo,,gbaka : Adjamé Liberté ↔ Abobo Gare Mairie,,3,https://jungle-bus.github.io/unroll/route.html?line=10184139,,
r10184730,Gbaka d'Abobo,,gbaka : Abobo Gare Mairie ↔Akeïkoi Village,,3,https://jungle-bus.github.io/unroll/route.html?line=10184730,,
r10184964,Gbaka d'Abobo,,gbaka : Abobo Gare Mairie ↔ Kennedy Marché,,3,https://jungle-bus.github.io/unroll/route.html?line=10184964,,
r10185142,Gbaka d'Abobo,,gbaka : Abobo Gare Mairie ↔ Kennedy Mosquée Ado,,3,https://jungle-bus.github.io/unroll/route.html?line=10185142,,
r10185169,Gbaka d'Adjamé,,gbaka : Adjamé gare en haut ↔ Cocody Riviera M'badon,,3,https://jungle-bus.github.io/unroll/route.html?line=10185169,,
r10185403,Gbaka d'Adjamé,,gbaka : Adjamé gare en haut ↔ Cocody Attoban Camp,,3,https://jungle-bus.github.io/unroll/route.html?line=10185403,,
r10185406,Gbaka d'Abobo,,gbaka : Abobo Gare Mairie ↔ Abobo PK 18,,3,https://jungle-bus.github.io/unroll/route.html?line=10185406,,
r10402404,Gbaka d'Adjamé,,gbaka : Adjamé Liberté ↔ Cocody Riviera 2,,3,https://jungle-bus.github.io/unroll/route.html?line=10402404,,
r10402518,Gbaka d'Adjamé,,gbaka : Adjamé gare en haut ↔ Cocody Anono,,3,https://jungle-bus.github.io/unroll/route.html?line=10402518,,
r10402749,Gbaka d'Adjamé,,gbaka : Adjamé gare en haut ↔ Bingerville,,3,https://jungle-bus.github.io/unroll/route.html?line=10402749,,
r10403055,Gbaka d'Adjamé,,gbaka : Adjamé gare en haut ↔ Cocody Riviera M'pouto,,3,https://jungle-bus.github.io/unroll/route.html?line=10403055,,
r10403061,Gbaka de Yopougon,,gbaka : Adjamé Texaco ↔ Yopougon Kowët,,3,https://jungle-bus.github.io/unroll/route.html?line=10403061,,
r10404238,Gbaka d'Adjamé,,gbaka : Adjamé gare en haut ↔ Cocody Akouédo,,3,https://jungle-bus.github.io/unroll/route.html?line=10404238,,
r10406129,Gbaka de Treichville,,gbaka : Treichville Gare de Bassam ↔ Port-Bouët Gonzagueville,,3,https://jungle-bus.github.io/unroll/route.html?line=10406129,,
r10406387,Gbaka d'Adjamé,,gbaka : Yopougon Palais ↔ Adjamé Renault,,3,https://jungle-bus.github.io/unroll/route.html?line=10406387,,
r10406547,Gbaka d'Adjamé,,gbaka : Yopougon Niangon Terminus 27 ↔ Adjamé Liberté,,3,https://jungle-bus.github.io/unroll/route.html?line=10406547,,
r10406621,Gbaka d'Adjamé,,gbaka : Adjamé Liberté ↔ Koumassi,,3,https://jungle-bus.github.io/unroll/route.html?line=10406621,,
r10406865,Gbaka d'Adjamé,,gbaka : Adjamé Liberté ↔ Yopougon Palais,,3,https://jungle-bus.github.io/unroll/route.html?line=10406865,,
r10407729,Gbaka d'Adjamé,,gbaka : Adjamé Texaco ↔ Yopougon Camp Militaire,,3,https://jungle-bus.github.io/unroll/route.html?line=10407729,,
r10407850,Gbaka d'Adjamé,,gbaka : Yopougon Carrefour Académie ↔ Adjamé Liberté,,3,https://jungle-bus.github.io/unroll/route.html?line=10407850,,
r10408669,Woro-woro de Cocody,,woro woro : Riviera 2 ↔ Angré Terminus 81-82,,3,https://jungle-bus.github.io/unroll/route.html?line=10408669,ffff00,000000
r10408694,Woro-woro de Cocody,,woro woro : Riviera 2 ↔ Angré 22ème,,3,https://jungle-bus.github.io/unroll/route.html?line=10408694,ffff00,000000
r10408727,Woro-woro de Cocody,,woro woro : Riviera 2 ↔ Attoban Camp,,3,https://jungle-bus.github.io/unroll/route.html?line=10408727,ffff00,000000
r10408771,Woro-woro de Treichville,,woro woro : Treichville Gare de Bassam ↔ Treichville Gare Bateau-bus,,3,https://jungle-bus.github.io/unroll/route.html?line=10408771,0000ff,ffffff
r10408836,Woro-woro de Yopougon,,woro woro : Yopougon Gabriel gare ↔ Yopougon Micao,,3,https://jungle-bus.github.io/unroll/route.html?line=10408836,0000ff,ffffff
r10409494,Gbaka d'Adjamé,,gbaka : Adjamé Renault ↔ Abobo Gare Mairie,,3,https://jungle-bus.github.io/unroll/route.html?line=10409494,,
r10409714,Gbaka d'Adjamé,,gbaka : Adjamé Liberté ↔ Carrefour Lokoa,,3,https://jungle-bus.github.io/unroll/route.html?line=10409714,,
