trip_id,arrival_time,departure_time,stop_id,timepoint,stop_sequence
r10178669_Mo-Su,06:00:00,06:00:00,n9271804742,0,0
r10178669_Mo-Su,06:24:20,06:24:20,n6899034709,0,1
r10178669_Mo-Su,06:25:56,06:25:56,n6899034708,0,2
r10178669_Mo-Su,06:28:14,06:28:14,n6899034707,0,3
r10178669_Mo-Su,06:29:14,06:29:14,n9271804739,0,4
r10178669_Mo-Su,06:30:00,06:30:00,n6899034705,0,5
r10178996_Mo-Su,06:00:00,06:00:00,n6899053349,0,0
r10178996_Mo-Su,06:04:37,06:04:37,n6899053348,0,1
r10178996_Mo-Su,06:12:24,06:12:24,n6899053347,0,2
r10178996_Mo-Su,06:25:00,06:25:00,n6899053345,0,3
r10179434_Mo-Su,06:00:00,06:00:00,n6899241577,0,0
r10179434_Mo-Su,06:20:00,06:20:00,n6899241573,0,1
r10179433_Mo-Su,06:00:00,06:00:00,n6899264973,0,0
r10179433_Mo-Su,06:38:03,06:38:03,n6899264972,0,1
r10179433_Mo-Su,06:40:30,06:40:30,n6899264971,0,2
r10179433_Mo-Su,06:45:00,06:45:00,n6899264970,0,3
r10183939_Mo-Su,06:00:00,06:00:00,n6902639012,0,0
r10183939_Mo-Su,06:05:27,06:05:27,n6902639011,0,1
r10183939_Mo-Su,06:09:45,06:09:45,n6902639010,0,2
r10183939_Mo-Su,06:13:56,06:13:56,n6902638994,0,3
r10183939_Mo-Su,06:16:38,06:16:38,n6902639009,0,4
r10183939_Mo-Su,06:17:53,06:17:53,n6902639008,0,5
r10183939_Mo-Su,06:19:00,06:19:00,n6902639007,0,6
r10183939_Mo-Su,06:22:08,06:22:08,n6902639006,0,7
r10183939_Mo-Su,06:24:17,06:24:17,n6902639005,0,8
r10183939_Mo-Su,06:25:45,06:25:45,n6902638993,0,9
r10183939_Mo-Su,06:26:08,06:26:08,n6902639004,0,10
r10183939_Mo-Su,06:27:10,06:27:10,n6902639003,0,11
r10183939_Mo-Su,06:28:01,06:28:01,n6902639002,0,12
r10183939_Mo-Su,06:28:50,06:28:50,n6902639001,0,13
r10183939_Mo-Su,06:31:06,06:31:06,n6902639000,0,14
r10183939_Mo-Su,06:31:34,06:31:34,n6902638999,0,15
r10183939_Mo-Su,06:31:59,06:31:59,n6902638998,0,16
r10183939_Mo-Su,06:33:56,06:33:56,n6902638997,0,17
r10183939_Mo-Su,06:34:26,06:34:26,n6902638992,0,18
r10183939_Mo-Su,06:35:15,06:35:15,n6902638991,0,19
r10183939_Mo-Su,06:36:32,06:36:32,n6902638990,0,20
r10183939_Mo-Su,06:37:29,06:37:29,n6902638996,0,21
r10183939_Mo-Su,06:38:36,06:38:36,n6902638989,0,22
r10183939_Mo-Su,06:39:44,06:39:44,n6902638988,0,23
r10183939_Mo-Su,06:40:00,06:40:00,n6902638995,0,24
r10184124_Mo-Su,06:00:00,06:00:00,n6902868245,0,0
r10184124_Mo-Su,06:01:41,06:01:41,n6902868224,0,1
r10184124_Mo-Su,06:02:49,06:02:49,n6902868225,0,2
r10184124_Mo-Su,06:04:02,06:04:02,n6902868226,0,3
r10184124_Mo-Su,06:06:10,06:06:10,n6902868244,0,4
r10184124_Mo-Su,06:11:38,06:11:38,n6902868227,0,5
r10184124_Mo-Su,06:12:36,06:12:36,n6902868228,0,6
r10184124_Mo-Su,06:13:33,06:13:33,n6902868229,0,7
r10184124_Mo-Su,06:14:45,06:14:45,n6902868230,0,8
r10184124_Mo-Su,06:15:13,06:15:13,n6902868231,0,9
r10184124_Mo-Su,06:17:00,06:17:00,n6902868232,0,10
r10184124_Mo-Su,06:19:22,06:19:22,n6902868233,0,11
r10184124_Mo-Su,06:21:06,06:21:06,n6902868243,0,12
r10184124_Mo-Su,06:22:49,06:22:49,n6902868234,0,13
r10184124_Mo-Su,06:24:04,06:24:04,n6902868235,0,14
r10184124_Mo-Su,06:25:35,06:25:35,n6902868236,0,15
r10184124_Mo-Su,06:28:03,06:28:03,n6902868242,0,16
r10184124_Mo-Su,06:30:12,06:30:12,n6902868241,0,17
r10184124_Mo-Su,06:33:40,06:33:40,n6902868237,0,18
r10184124_Mo-Su,06:37:13,06:37:13,n6902868240,0,19
r10184124_Mo-Su,06:38:13,06:38:13,n6902868238,0,20
r10184124_Mo-Su,06:39:37,06:39:37,n6902868239,0,21
r10184124_Mo-Su,06:42:29,06:42:29,n6899264972,0,22
r10184124_Mo-Su,06:45:00,06:45:00,n6899264971,0,23
r10184409_Mo-Su,06:00:00,06:00:00,n6902975757,0,0
r10184409_Mo-Su,06:16:22,06:16:22,n6902975756,0,1
r10184409_Mo-Su,06:17:27,06:17:27,n6902975755,0,2
r10184409_Mo-Su,06:24:25,06:24:25,n6902975754,0,3
r10184409_Mo-Su,06:28:23,06:28:23,n6902975747,0,4
r10184409_Mo-Su,06:29:27,06:29:27,n6902975753,0,5
r10184409_Mo-Su,06:31:24,06:31:24,n6902975752,0,6
r10184409_Mo-Su,06:33:03,06:33:03,n6902975751,0,7
r10184409_Mo-Su,06:34:16,06:34:16,n6902975750,0,8
r10184409_Mo-Su,06:38:11,06:38:11,n6902975749,0,9
r10184409_Mo-Su,06:40:00,06:40:00,n6902975748,0,10
r10184729_Mo-Su,06:00:00,06:00:00,n6903097505,0,0
r10184729_Mo-Su,06:00:56,06:00:56,n6903097504,0,1
r10184729_Mo-Su,06:03:57,06:03:57,n6903097503,0,2
r10184729_Mo-Su,06:04:51,06:04:51,n6903084143,0,3
r10184729_Mo-Su,06:05:55,06:05:55,n6903084142,0,4
r10184729_Mo-Su,06:07:25,06:07:25,n6903084141,0,5
r10184729_Mo-Su,06:08:10,06:08:10,n6903097502,0,6
r10184729_Mo-Su,06:08:53,06:08:53,n6903097501,0,7
r10184729_Mo-Su,06:10:53,06:10:53,n6903193217,0,8
r10184729_Mo-Su,06:13:20,06:13:20,n6903193216,0,9
r10184729_Mo-Su,06:16:29,06:16:29,n6903097494,0,10
r10184729_Mo-Su,06:17:00,06:17:00,n6903097500,0,11
r10184729_Mo-Su,06:19:23,06:19:23,n6903097499,0,12
r10184729_Mo-Su,06:20:38,06:20:38,n6903097498,0,13
r10184729_Mo-Su,06:24:57,06:24:57,n6903097497,0,14
r10184729_Mo-Su,06:28:27,06:28:27,n6903097496,0,15
r10184729_Mo-Su,06:30:00,06:30:00,n6903097495,0,16
r10184963_Mo-Su,06:00:00,06:00:00,n6903268820,0,0
r10184963_Mo-Su,06:07:06,06:07:06,n6903374200,0,1
r10184963_Mo-Su,06:10:27,06:10:27,n6903374202,0,2
r10184963_Mo-Su,06:12:25,06:12:25,n6903296478,0,3
r10184963_Mo-Su,06:16:19,06:16:19,n6903296482,0,4
r10184963_Mo-Su,06:19:18,06:19:18,n6903296481,0,5
r10184963_Mo-Su,06:19:59,06:19:59,n6903296480,0,6
r10184962_Mo-Su,06:00:00,06:00:00,n6903268822,0,0
r10184962_Mo-Su,06:02:49,06:02:49,n6903296479,0,1
r10184962_Mo-Su,06:05:23,06:05:23,n6903296477,0,2
r10184962_Mo-Su,06:06:42,06:06:42,n6903374201,0,3
r10184962_Mo-Su,06:09:12,06:09:12,n6903268821,0,4
r10184962_Mo-Su,06:10:44,06:10:44,n6903296476,0,5
r10184962_Mo-Su,06:12:44,06:12:44,n6903097496,0,6
r10184962_Mo-Su,06:15:00,06:15:00,n6903268819,0,7
r10185123_Mo-Su,06:00:00,06:00:00,n6903268820,0,0
r10185123_Mo-Su,06:10:39,06:10:39,n6903504058,0,1
r10185123_Mo-Su,06:12:52,06:12:52,n6903504060,0,2
r10185123_Mo-Su,06:14:04,06:14:04,n6903397407,0,3
r10185123_Mo-Su,06:16:21,06:16:21,n6903397406,0,4
r10185123_Mo-Su,06:17:18,06:17:18,n6903397405,0,5
