stop_id,stop_lat,stop_lon,parent_station,location_type,stop_name
node/1227889258,5.3158647,-4.0148847,,0,Gare lagunaire Aqualines du Plateau
node/5390465849,5.3078259,-4.0374018,,0,Gare lagunaire Aqualines Yopougon
node/6815808830,5.3580852,-3.9641507,,0,Station Shell Riviera 3
node/6815808834,5.4010646,-3.9780418,,0,Marché COCOVICO
node/6899034705,5.2996481,-4.0022393,,0,Gare de Bassam
node/6899034706,5.3004143,-3.9997862,,0,Gendarmerie
node/6899034707,5.303315,-4.0037983,,0,Notre-dame
node/6899034708,5.3072484,-4.005186,,0,Pharmacie Nanan Yamousso
node/6899034709,5.3099574,-4.0061407,,0,Après le Pont
node/6899034710,5.3534116,-4.0160603,,0,Adjame Liberte
node/6899053345,5.3534437,-4.014858,,0,Adjamé Liberté
node/6899053346,5.3535364,-4.0120307,,0,Gare de Bingerville
node/6899053347,5.325075,-4.0152949,,0,Feux du plateau
node/6899053348,5.3101491,-4.0061218,,0,Nanan Yamousso
node/6899053349,5.2996797,-4.0024275,,0,Gare de Bassam
node/6899241573,5.4200067,-4.0174383,,0,Abobo Gare Mairie
node/6899241574,5.4143755,-4.0159818,,0,Mobil
node/6899241575,5.3846198,-4.0215227,,0,Lavage
node/6899241576,5.37725,-4.0257575,,0,Macaci
node/6899241577,5.3543459,-4.0164004,,0,Adjamé Liberté
node/6899264970,5.349107,-4.0212174,,0,Marché Gouro
node/6899264971,5.3547097,-4.0163905,,0,Adjamé Liberté
node/6899264972,5.358734,-4.016791,,0,Station Total
node/6899264973,5.4215493,-4.0171184,,0,Abobo Gare Mairie
node/6902638988,5.4195759,-4.0153363,,0,Carrefour Marché
node/6902638989,5.4186048,-4.0135168,,0,Petro Ivoire
node/6902638990,5.4168519,-4.0101975,,0,Au Bar
node/6902638991,5.4157998,-4.0080786,,0,Petit Carrefour
node/6902638992,5.4152338,-4.0067032,,0,Samaké
node/6902638993,5.3995011,-4.0064914,,0,Azur
node/6902638994,5.3780522,-4.0070352,,0,Panneau ZOO
node/6902638995,5.4197843,-4.0157753,,0,Abobo Gare Mairie
