route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
r10179006,Mo-Su,r10178669_Mo-Su,Treichville Gare de Bassam,0,r10178669
r10179006,Mo-Su,r10178996_Mo-Su,Adjamé Liberté,1,r10178996
r10179435,Mo-Su,r10179434_Mo-Su,Abobo Gare Mairie,0,r10179434
r10179435,Mo-Su,r10179433_Mo-Su,Adjamé Marché Gouro,1,r10179433
r10184139,Mo-Su,r10183939_Mo-Su,Abobo Gare Mairie,0,r10183939
r10184139,Mo-Su,r10184124_Mo-Su,Adjamé Liberté,1,r10184124
r10184730,Mo-Su,r10184409_Mo-Su,Akeïkoi Village,0,r10184409
r10184730,Mo-Su,r10184729_Mo-Su,Abobo Gare d'Akeïkoi,1,r10184729
r10184964,Mo-Su,r10184963_Mo-Su,Kennedy Marché,0,r10184963
r10184964,Mo-Su,r10184962_Mo-Su,Gare Abobo Mairie,1,r10184962
r10185142,Mo-Su,r10185123_Mo-Su,Mosquée Ado,0,r10185123
r10185142,Mo-Su,r10185122_Mo-Su,Gare Abobo Kennedy,1,r10185122
r10185169,Mo-Su,r10184954_Mo-Su,Cocody Riviera M'badon,0,r10184954
r10185169,Mo-Su,r10185168_Mo-Su,Adjamé gare en haut,1,r10185168
r10185403,Mo-Su,r10186002_Mo-Su,Adjamé gare en haut,0,r10186002
r10185403,Mo-Su,r10185402_Mo-Su,Attoban Camp,1,r10185402
r10185406,Mo-Su,r10185404_Mo-Su,Abobo PK 18,0,r10185404
r10185406,Mo-Su,r10185405_Mo-Su,Abobo Gare Mairie,1,r10185405
r10402404,Mo-Su,r10402403_Mo-Su,Cocody Riviera 2,0,r10402403
r10402404,Mo-Su,r10402402_Mo-Su,Adjamé Liberté,1,r10402402
r10402518,Mo-Su,r10402517_Mo-Su,Cocody Anono,0,r10402517
r10402518,Mo-Su,r10402516_Mo-Su,Adjamé gare en haut,1,r10402516
r10402749,Mo-Su,r10402748_Mo-Su,Bingerville,0,r10402748
r10402749,Mo-Su,r10402747_Mo-Su,Adjamé gare en haut,1,r10402747
r10403055,Mo-Su,r10403054_Mo-Su,Cocody Riviera M'pouto,0,r10403054
r10403055,Mo-Su,r10403053_Mo-Su,Adjamé gare en haut,1,r10403053
r10403061,Mo-Su,r10403060_Mo-Su,Yopougon Kowët,0,r10403060
r10403061,Mo-Su,r10403059_Mo-Su,Adjamé Texaco,1,r10403059
r10404238,Mo-Su,r10404237_Mo-Su,Cocody Akouédo,0,r10404237
r10404238,Mo-Su,r10404236_Mo-Su,Adjamé gare en haut,1,r10404236
r10406129,Mo-Su,r10406127_Mo-Su,Treichville Gare de Bassam,0,r10406127
r10406129,Mo-Su,r10406128_Mo-Su,Port-Bouët Gonzagueville,1,r10406128
r10406387,Mo-Su,r10406386_Mo-Su,Yopougon Palais,0,r10406386
r10406387,Mo-Su,r10406385_Mo-Su,Adjamé Renault,1,r10406385
r10406547,Mo-Su,r10406545_Mo-Su,Yopougon Niangon Terminus 27,0,r10406545
r10406547,Mo-Su,r10406546_Mo-Su,Adjamé Liberté,1,r10406546
r10406621,Mo-Su,r10406619_Mo-Su,Koumassi,0,r10406619
r10406621,Mo-Su,r10406620_Mo-Su,Adjamé Liberté,1,r10406620
r10406865,Mo-Su,r10406864_Mo-Su,Yopougon Palais,0,r10406864
r10406865,Mo-Su,r10406863_Mo-Su,Adjamé Liberté,1,r10406863
r10407729,Mo-Su,r10407727_Mo-Su,Yopougon Camp Militaire,0,r10407727
r10407729,Mo-Su,r10407728_Mo-Su,Adjamé Texaco,1,r10407728
r10407850,Mo-Su,r10407849_Mo-Su,Yopougon Carrefour Académie,0,r10407849
r10407850,Mo-Su,r10407848_Mo-Su,Adjamé Liberté,1,r10407848
r10408669,Mo-Su,r10408667_Mo-Su,Riviera 2,0,r10408667
r10408669,Mo-Su,r10408668_Mo-Su,Angré Terminus 81-82,1,r10408668
r10408694,Mo-Su,r10408692_Mo-Su,Riviera 2,0,r10408692
r10408694,Mo-Su,r10408693_Mo-Su,Angré 22ème,1,r10408693
r10408727,Mo-Su,r10408726_Mo-Su,Riviera 2,0,r10408726
r10408727,Mo-Su,r10408725_Mo-Su,Attoban Camp,1,r10408725
r10408771,Mo-Su,r10408769_Mo-Su,Treichville Gare de Bassam,0,r10408769
r10408771,Mo-Su,r10408770_Mo-Su,Treichville Gare Bateau-bus,1,r10408770
r10408836,Mo-Su,r10408835_Mo-Su,Yopougon Micao,0,r10408835
r10408836,Mo-Su,r10408834_Mo-Su,Yopougon Gabriel gare,1,r10408834
r10409494,Mo-Su,r10409493_Mo-Su,Abobo Gare Mairie,0,r10409493
r10409494,Mo-Su,r10409492_Mo-Su,Adjamé Renault,1,r10409492
r10409714,Mo-Su,r10409712_Mo-Su,Adjamé Liberté,0,r10409712
r10409714,Mo-Su,r10409713_Mo-Su,Carrefour Lokoa,1,r10409713
r10410754,Mo-Su,r10410753_Mo-Su,Bingerville,0,r10410753
r10410754,Mo-Su,r10410752_Mo-Su,Adjamé Liberté,1,r10410752
r10411047,Mo-Su,r10411046_Mo-Su,Adjamé Agban,0,r10411046
r10411047,Mo-Su,r10412113_Mo-Su,Yopougon gare Gesco,1,r10412113
r10412424,Mo-Su,r10412423_Mo-Su,Vallon,0,r10412423
r10412424,Mo-Su,r10412422_Mo-Su,Zoo,1,r10412422
r10412781,Mo-Su,r10412780_Mo-Su,Sococe Deux plateaux,0,r10412780
r10412781,Mo-Su,r10412779_Mo-Su,Zoo,1,r10412779
r10413050,Mo-Su,r10413049_Mo-Su,CHU Angré,0,r10413049
r10413050,Mo-Su,r10413048_Mo-Su,Abobo Azur Mobil,1,r10413048
r10413162,Mo-Su,r10413161_Mo-Su,8e Tranche CNPS en haut,0,r10413161
r10413162,Mo-Su,r10413160_Mo-Su,Abobo Azur Mobile,1,r10413160
r10413253,Mo-Su,r10413252_Mo-Su,Adjamé Mairie Dallas,0,r10413252
r10413253,Mo-Su,r10413251_Mo-Su,Adjamé Liberté,1,r10413251
r10413686,Mo-Su,r10413685_Mo-Su,Angré Château,0,r10413685
r10413686,Mo-Su,r10413684_Mo-Su,Abobo Azur Mobil,1,r10413684
r10416510,Mo-Su,r10416508_Mo-Su,Palmeraie,0,r10416508
r10416510,Mo-Su,r10416509_Mo-Su,Les Rosiers,1,r10416509
r10416736,Mo-Su,r10416735_Mo-Su,Palmeraie SIPIM 4,0,r10416735
r10416736,Mo-Su,r10416734_Mo-Su,Carrefour 9km,1,r10416734
r10430127,Mo-Su,r10430126_Mo-Su,Ndotre,0,r10430126
r10430127,Mo-Su,r10430125_Mo-Su,Abobo Gare,1,r10430125
r10430197,Mo-Su,r10430196_Mo-Su,Abobo Azur Mobil,0,
r10430197,Mo-Su,r10430195_Mo-Su,Saint Jean,1,r10430195
r10430593,Mo-Su,r10430591_Mo-Su,Zoo,0,r10430591
r10430593,Mo-Su,r10430592_Mo-Su,Aghien,1,r10430592
r10430627,Mo-Su,r10430626_Mo-Su,Yopougon Carrefour Zone,0,r10430626
r10430627,Mo-Su,r10430625_Mo-Su,Abobo Gendarmerie,1,r10430625
r10431102,Mo-Su,r10431100_Mo-Su,Zoo,0,r10431100
r10431102,Mo-Su,r10431101_Mo-Su,Attoban,1,r10431101
r10442364,Mo-Su,r10442362_Mo-Su,Yopougon Sideci IGES,0,r10442362
r10442364,Mo-Su,r10442363_Mo-Su,Adjamé Liberté,1,r10442363
r10459360,Mo-Su,r10459359_Mo-Su,Adjamé mosquée,0,r10459359
r10459360,Mo-Su,r10459358_Mo-Su,Yopougon Niangon Terminus 27,1,r10459358
r10459458,Mo-Su,r10459457_Mo-Su,Yopougon marché Bagnon,0,r10459457
r10459458,Mo-Su,r10459456_Mo-Su,Gare Kobenan Agban,1,r10459456
r10460517,Mo-Su,r10460516_Mo-Su,Adjamé Nouvelle Gare,0,r10460516
r10460517,Mo-Su,r10460515_Mo-Su,BC,1,r10460515
r10460657,Mo-Su,r10460656_Mo-Su,Belle ville,0,r10460656
r10460657,Mo-Su,r10460655_Mo-Su,Abobo Gare,1,r10460655
r10460968,Mo-Su,r10460967_Mo-Su,Gare d'Anyama,0,r10460967
r10460968,Mo-Su,r10460966_Mo-Su,Abobo Gare,1,r10460966
r10461146,Mo-Su,r10474251_Mo-Su,Angré Petro Ivoire,0,r10474251
r10461146,Mo-Su,r10474250_Mo-Su,Abobo Gare,1,r10474250
r10461307,Mo-Su,r10461306_Mo-Su,Adjamé Nouvelle Gare,0,r10461306
r10461307,Mo-Su,r10461305_Mo-Su,Carrefour JAUG,1,r10461305
r10461959,Mo-Su,r10461958_Mo-Su,Adjame mosquée,0,r10461958
r10461959,Mo-Su,r10461957_Mo-Su,Yopougon Lokoa,1,r10461957
r10464893,Mo-Su,r10416468_Mo-Su,Yopougon (Abobo Doumé),0,r10416468
r10464893,Mo-Su,r10416469_Mo-Su,Plateau,1,r10416469
r10465035,Mo-Su,r10465033_Mo-Su,Plateau,0,r10465033
r10465035,Mo-Su,r10465034_Mo-Su,Abatta,1,r10465034
r10474495,Mo-Su,r10474494_Mo-Su,Yopougon koweit,0,r10474494
r10474495,Mo-Su,r10474493_Mo-Su,Gare Kobenan Agban,1,r10474493
r10474747,Mo-Su,r10474746_Mo-Su,Yopougon Lubafrique,0,r10474746
r10474747,Mo-Su,r10474745_Mo-Su,Gare kobenan Agban,1,r10474745
r10476005,Mo-Su,r10476004_Mo-Su,Akouedo Attié,0,r10476004
r10476005,Mo-Su,r10476003_Mo-Su,Adjamé gare en haut,1,r10476003
r10476178,Mo-Su,r10476177_Mo-Su,Bingerville,0,r10476177
r10476178,Mo-Su,r10476176_Mo-Su,Gare Kobenan Agban,1,r10476176
r10476298,Mo-Su,r10476297_Mo-Su,Yopougon boassi,0,r10476297
r10476298,Mo-Su,r10476296_Mo-Su,Adjame Agban,1,r10476296
r10480217,Mo-Su,r10480216_Mo-Su,Yopougon Camp Militaire,0,r10480216
r10480217,Mo-Su,r10480215_Mo-Su,Adjamé Agban,1,r10480215
r10480360,Mo-Su,r10480358_Mo-Su,Yopougon Niangon Terminus 27,0,r10480358
r10480360,Mo-Su,r10480359_Mo-Su,Gare Kobenan Agban,1,r10480359
r10480446,Mo-Su,r10480445_Mo-Su,Yopougon Carrefour Académie,0,r10480445
r10480446,Mo-Su,r10480444_Mo-Su,Gare Kobenan Agban,1,r10480444
r10480461,Mo-Su,r10480459_Mo-Su,Yopougon Carrefour Académie,0,r10480459
r10480461,Mo-Su,r10480460_Mo-Su,Adjamé mosquée,1,r10480460
r10480573,Mo-Su,r10480572_Mo-Su,Port-Bouët Vridi,0,r10480572
r10480573,Mo-Su,r10480571_Mo-Su,Adjamé Agban,1,r10480571
r10521453,Mo-Su,r10521452_Mo-Su,Bingerville,0,r10521452
r10521453,Mo-Su,r10521451_Mo-Su,Adjame Agban,1,r10521451
r10628612,Mo-Su,r10628610_Mo-Su,Saint Jean,0,r10628610
r10628612,Mo-Su,r10628611_Mo-Su,Riviera 2,1,r10628611
r10628718,Mo-Su,r10628717_Mo-Su,Angré Château,0,r10628717
r10628718,Mo-Su,r10628716_Mo-Su,Saint Jean,1,r10628716
r10628857,Mo-Su,r10628855_Mo-Su,Saint Jean,0,r10628855
r10628857,Mo-Su,r10628856_Mo-Su,Angré Pétro Ivoire,1,r10628856
r10647547,Mo-Su,r10647546_Mo-Su,Vridi Cité,0,r10647546
r10647547,Mo-Su,r10647545_Mo-Su,Marché de Port-Bouët,1,r10647545
r10647596,Mo-Su,r10647595_Mo-Su,Vridi Canal,0,r10647595
r10647596,Mo-Su,r10647594_Mo-Su,Marché de Port-Bouët,1,r10647594
r10647737,Mo-Su,r10647736_Mo-Su,Marché de Port-Bouët,0,r10647736
r10647737,Mo-Su,r10647735_Mo-Su,Anani,1,r10647735
r10651885,Mo-Su,r10651884_Mo-Su,BC,0,r10651884
r10651885,Mo-Su,r10651883_Mo-Su,Abobo Gare,1,r10651883
r10651976,Mo-Su,r10651975_Mo-Su,Ndotre,0,r10651975
r10651976,Mo-Su,r10651974_Mo-Su,Abobo Gendarmerie,1,r10651974
r10653426,Mo-Su,r10653425_Mo-Su,Biabou,0,r10653425
r10653426,Mo-Su,r10653424_Mo-Su,Abobo Gare,1,r10653424
r10653562,Mo-Su,r10653561_Mo-Su,Houphouet-Boigny,0,r10653561
